"chunk_id","chunk_type","primary_text","category","price","price_category","flower_type","seasonality","occasion","collection_id","url","max_tokens","content_length"
"product_0001","product","AROMA DEFFUSER MIDNIGHT PINE, SPICY CLOVE 40 ML - Difuzor de aromă Chando cu aromă de pin de miezul nopții și cuișoare picante, în design elegant din porțelan poros în formă de flori și elemente decorative","Chando","660","Budget","Difuzor aromă","All-Season","General","Chando","https://xoflowers.md/difuzor-de-aroma-midnight-pine-spicy-clove-40ml/","200","203"
"product_0002","product","AROMA DEFFUSER ROYAL GUARD 10ML - Difuzor de aromă Chando Royal Guard în ambalaj luxos, cu elemente elegante din porțelan poros care absoarb perfect aroma-liquid","Chando","1250","Mid-Range","Difuzor aromă","All-Season","General","Chando","https://xoflowers.md/difuzor-de-aroma-royal-guard-10ml/","200","159"
"product_0003","product","AROMA DEFFUSER ROMANCE 100ML - Difuzor de aromă Chando Romance cu aromă romantică, înlocuiește bețișoarele cu elemente elegante din porțelan poros sub formă de flori și crenguțe","Chando","2700","Premium","Difuzor aromă","All-Season","General","Chando","https://xoflowers.md/difuzor-de-aroma-romance-100ml/","200","175"
"product_0004","product","AROMA DEFFUSER MAGNOLIA 200ML - Difuzor de aromă Chando Magnolia cu aromă florală delicată, design modern cu elemente din porțelan poros care difuzează parfumul în mod elegant","Chando","2800","Premium","Difuzor aromă","All-Season","General","Chando","https://xoflowers.md/difuzor-de-aroma-magnolia-200ml/","200","173"
"product_0005","product","AROMA DEFFUSER SENSUAL CAMILLA 200ML - Difuzor de aromă Chando Sensual Camilla cu aromă senzuală de camelie, ambalaj luxos care face din acest difuzor un cadou scump și impresionant","Chando","2700","Premium","Difuzor aromă","All-Season","General","Chando","https://xoflowers.md/difuzor-de-aroma-sensual-camilla-200ml/","200","179"
"product_0006","product","AROMA DEFFUSER FLORAL INTIMACY YELLOW 10ML - Difuzor de aromă Chando Floral Intimacy galben cu aromă florală intimă, interpret modern al artei antice a porțelanului cu elemente sub formă de scoici","Chando","990","Mid-Range","Difuzor aromă","All-Season","General","Chando","https://xoflowers.md/difuzor-de-aroma-floral-intimacy-yellow-10ml/","200","194"
"product_0007","product","AROMA DEFFUSER FLORAL INTIMACY LILIAC 10ML - Difuzor de aromă Chando Floral Intimacy în nuanîă liliac cu aromă florală delicată, design elegant din porțelan poros care umple spaîiul cu un miros subtil","Chando","990","Mid-Range","Difuzor aromă","All-Season","General","Chando","https://xoflowers.md/difuzor-de-aroma-floral-intimacy-liliac-10ml/","200","198"
"product_0008","product","AROMA DEFFUSER AMETHYST LOVE MINI, SENSUAL CAMELLIA 35 ML - Difuzor de aromă Chando Amethyst Love Mini cu aromă senzuală de camelie, versiune compactă în design modern cu elemente din porțelan poros","Chando","1250","Mid-Range","Difuzor aromă","All-Season","General","Chando","https://xoflowers.md/difuzor-de-aroma-amethyst-love-mini-sensual-camellia-35ml/","200","196"
"product_0009","product","AROMA DEFFUSER AMETHYST LOVE MINI, FRESH LILY 35 ML - Difuzor de aromă Chando Amethyst Love Mini cu aromă proaspătă de crin, design compact cu elemente elegante din porțelan poros sub formă de flori","Chando","1250","Mid-Range","Difuzor aromă","All-Season","General","Chando","https://xoflowers.md/difuzor-de-aroma-amethyst-love-mini-fresh-lily-35ml/","200","196"
"product_0010","product","AROMA DEFFUSER ADVENTUROUS, ORANGE BLOSSOM 80 ML - Difuzor de aromă Chando Adventurous cu aromă de flori de portocal, perfect pentru cei care iubesc parfumurile citrice și calde","Chando","850","Mid-Range","Difuzor aromă","All-Season","General","Chando","https://xoflowers.md/difuzor-de-aroma-adventurous-orange-blossom-80ml/","200","175"
"product_0011","product","AROMA DEFFUSER ENIGMATIC LOTUS, FRESIA VALLEY 10 ML - Difuzor de aromă Chando Enigmatic Lotus cu aromă de lotus enigmatic și fresia valley, ambalaj luxos care face din acest difuzor un cadou special","Chando","1320","Mid-Range","Difuzor aromă","All-Season","General","Chando","https://xoflowers.md/difuzor-de-aroma-enigmatic-lotus-fresia-valley-10ml/","200","196"
"product_0012","product","Bouquet ""Marshmallow"" - Elegant bouquet of peonies in soft pastel colors, perfect for romantic occasions and special celebrations","Peonies","1200","Mid-Range","Peonies","Spring-Summer","General","Peonies","https://xoflowers.md/bouquet-marshmallow/","200","127"
"product_0013","product","Bouquet ""51 peonies"" - Luxurious bouquet of 51 fresh peonies for grand gestures and special occasions","Peonies","5600","Premium","Peony","Spring-Summer","General","Peonies","https://xoflowers.md/bouquet-51-peonies/","200","99"
"product_0014","product","Bouquet ""Coral"" - Beautiful coral-colored peony bouquet with viburnum accents","Peonies","650","Budget","Peony / viburnum","Spring-Summer","General","Peonies","https://xoflowers.md/bouquet-coral/","200","75"
"product_0015","product","Bouquet ""Coral Blossom"" - Elegant coral peony arrangement with delicate viburnum details","Peonies","1550","Mid-Range","Peony / viburnum","Spring-Summer","General","Peonies","https://xoflowers.md/peonies/","200","86"
"product_0016","product","Bouquet ""Luxurious Love"" - Premium mixed bouquet with hydrangea, peonies, spray roses and gerberas","Peonies","2800","Premium","Hydrangea / peony / rose spray / gerbera","Spring-Summer","General","Peonies","https://xoflowers.md/peonies/","200","96"
"product_0017","product","Bouquet ""Sweetness of Feeling"" - Tender combination of hydrangeas and peonies in soft romantic colors","Peonies","4400","Premium","Hydrangea / peony","Spring-Summer","General","Peonies","https://xoflowers.md/peonies/","200","99"
"product_0018","product","Bouquet ""Blue sky"" - Fresh blue and white arrangement with hydrangeas and peonies","Peonies","4600","Premium","Hydrangea / peony","Spring-Summer","General","Peonies","https://xoflowers.md/peonies/","200","79"
"product_0019","product","Basket with flowers ""Loving heart"" - Heart-shaped basket arrangement with peonies and hydrangeas","Peonies","5100","Premium","Peony / hydrangea","Spring-Summer","General","Peonies","https://xoflowers.md/peonies/","200","94"
